State,Quarter,Credit Score,Prosper Score,Lenders Yield,Number of Loans
MA,Q1 2012,707.333333333,5.9,0.21392,90
MA,Q1 2013,706.956521739,5.53260869565,0.179906521739,92
MA,Q1 2014,697.841726619,6.54316546763,0.13270647482,278
MA,Q2 2010,709.655172414,8.31034482759,0.155551724138,29
MA,Q2 2011,695.652173913,5.78260869565,0.217413043478,46
MA,Q2 2012,700.166666667,6.03333333333,0.223971666667,120
MA,Q2 2013,712.91005291,5.27513227513,0.178171957672,189
MA,Q3 2009,702.5,8.125,0.194825,8
MA,Q3 2010,713.571428571,7.5,0.197589285714,28
MA,Q3 2011,707.5,6.08333333333,0.23206875,48
MA,Q3 2012,699.224806202,5.94573643411,0.222892248062,129
MA,Q3 2013,717.603686636,5.59447004608,0.164113824885,217
MA,Q4 2009,685.833333333,8.16666666667,0.209891666667,24
MA,Q4 2010,720.740740741,7.37037037037,0.197640740741,27
MA,Q4 2011,709.696969697,5.74242424242,0.215006060606,66
MA,Q4 2012,712.871287129,6.64356435644,0.188651485149,101
MA,Q4 2013,696.315789474,6.42105263158,0.147314661654,266
MD,Q1 2010,707.333333333,7.36666666667,0.215703333333,30
MD,Q1 2011,727.333333333,7.66666666667,0.184466666667,30
MD,Q1 2012,701.157024793,5.92561983471,0.211119008264,121
MD,Q1 2013,705.405405405,5.45945945946,0.182497297297,74
MD,Q1 2014,699.721254355,6.36236933798,0.135666202091,287
MD,Q2 2010,714.782608696,7.21739130435,0.198252173913,46
MD,Q2 2011,704.050632911,6.11392405063,0.209378481013,79
MD,Q2 2012,695.782312925,5.85714285714,0.222178911565,147
MD,Q2 2013,707.954545455,5.05681818182,0.183522727273,176
MD,Q3 2009,710.0,8.31818181818,0.172659090909,22
MD,Q3 2010,725.925925926,7.55555555556,0.178866666667,27
MD,Q3 2011,699.6,5.41,0.242188,100
MD,Q3 2012,700.893854749,5.86592178771,0.219556424581,179
MD,Q3 2013,711.985294118,5.25735294118,0.175841911765,272
MD,Q4 2009,701.875,8.34375,0.172525,32
MD,Q4 2010,716.818181818,6.59090909091,0.229938636364,44
MD,Q4 2011,693.59223301,5.8932038835,0.225868932039,103
MD,Q4 2012,700.45112782,5.98496240602,0.218976691729,133
MD,Q4 2013,689.050632911,5.69936708861,0.164932278481,316
MI,Q1 2010,700.571428571,7.4,0.196214285714,35
MI,Q1 2011,702.666666667,7.1,0.20143,30
MI,Q1 2012,700.0,6.16083916084,0.206123076923,143
MI,Q1 2013,694.912280702,4.84210526316,0.198849122807,114
MI,Q1 2014,686.648793566,5.87935656836,0.150296514745,373
MI,Q2 2010,692.5,6.45,0.2267575,40
MI,Q2 2011,688.351648352,5.79120879121,0.233837362637,91
MI,Q2 2012,691.612903226,5.91612903226,0.224627096774,155
MI,Q2 2013,700.622222222,5.10222222222,0.182891555556,225
MI,Q3 2009,682.222222222,7.38888888889,0.211844444444,18
MI,Q3 2010,691.818181818,6.95454545455,0.225479545455,44
MI,Q3 2011,686.226415094,5.48113207547,0.241132075472,106
MI,Q3 2012,693.796791444,6.05347593583,0.222989839572,187
MI,Q3 2013,698.947368421,5.18596491228,0.181601403509,285
MI,Q4 2009,685.128205128,7.58974358974,0.194553846154,39
MI,Q4 2010,699.069767442,6.41860465116,0.240834883721,43
MI,Q4 2011,683.404255319,5.27659574468,0.227692553191,94
MI,Q4 2012,702.773722628,6.32846715328,0.201316788321,137
MI,Q4 2013,689.168765743,5.5919395466,0.169065743073,397
MN,Q1 2010,696.923076923,7.5,0.199888461538,26
MN,Q1 2011,729.473684211,7.36842105263,0.186526315789,38
MN,Q1 2012,702.298850575,6.26436781609,0.21031954023,87
MN,Q1 2013,710.476190476,5.19047619048,0.187698412698,63
MN,Q1 2014,692.320675105,5.86919831224,0.148808438819,237
MN,Q2 2010,691.111111111,7.69444444444,0.196341666667,36
MN,Q2 2011,670.0,5.40740740741,0.236761111111,54
